"Title","ID","Owner","Created Date","Updated Date","Type","Link","more"
"《歌唱的基本方法》主讲人：李宏（国家一级演员）","46558322-8a83-4fff-82d5-248eac799485","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/34",
"舞剧《关闭》——来自现实生活的舞蹈 ","47e2ce3f-962f-4f02-b27d-d8c9b02d901b","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/14,31","电影手法拍摄的舞剧，封闭的酒吧百态人生"
"音乐剧《钢的琴》","494e6c1a-f758-4d08-aaa2-02fc4309a310","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:55Z,2020-09-27T19:28:55Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/3,12",
"安妮·索菲·冯·奥特与朋友演唱勃拉姆斯作品","4c3e0dbf-47ae-464e-a70d-0126ab2d4c2b","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/9,22","安妮·索菲·冯·奥特演绎勃拉姆斯的艺术歌曲"
"韦尔比耶音乐节巡礼-王羽佳独奏音乐会","4ed4efb7-6cbb-4ca6-9a03-1b94b5964da9","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/19,13",
"夏夜弦情—古典吉他独奏、重奏音乐会","4f53b87c-3e31-46c1-b3fc-e6137af277eb","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/28",
"《来吧，大家一起来！》","508f6de8-6ca3-46d8-b685-711058c80e27","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"文艺战疫","https://m.polyt.cn/activity/cloudTheater/detail/6,42",
"“国宝级”表演艺术家梁谷音做客大湖之约","522f46b6-6be6-4470-82a4-a83d98d6c41a","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/2,32",
"2003年琉森庆典音乐会-阿巴多与琉森音乐节管弦乐团","52be2ef2-2d90-4e15-a657-8945abee1224","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/20,11",
"马林斯基芭蕾舞团倾情演绎巴兰钦作品《珠宝》","5348b260-d55f-4511-8072-3ac8dc28304f","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/8,12","马林斯基剧院完美演绎巴兰钦的三幕芭蕾舞剧。"
"2013年韦尔比耶音乐节——德沃夏克在韦尔比耶","5981225b-1440-4c37-8757-6e3b347106cd","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/10,21","德沃夏克的钢琴与弦乐五重奏以及第八交响曲"
"胡安·卡尔莫纳弗拉明戈吉他演奏","5e336a05-42a1-4b08-987c-e0bed986ba72","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/5,24",
"哈萨克斯坦爱乐乐团祝福","5f1f6695-af90-4b04-912a-09ed0f84a994","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"文艺战疫","https://m.polyt.cn/activity/cloudTheater/detail/2,42",
"中国儿艺儿童剧《宝船》","5f744a68-30d6-4b60-b466-df9cdf752f17","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:55Z,2020-09-27T19:28:55Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/17",
"中国儿艺儿童剧《宝船》","608f1e87-ab17-4a51-8d32-b4cd68af3cfd","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/17",
"歌剧 罗西尼《塞维利亚理发师》","60de9daa-ecb8-48e6-b66b-be69044ea676","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/5,13",
"俄罗斯女钢琴家齐伯尔斯坦钢琴音乐会","612e6a5f-b5ec-46b4-aaef-95945faf50ba","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/3,21",
"“抗疫情”原创歌曲《因为爱》","6138f6cb-3c47-415e-a54f-bb21fb3f2015","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"文艺战疫","https://m.polyt.cn/activity/cloudTheater/detail/46",
"光束在现场 |《北京人》：中国新贵族黎明前的挽歌和黎明后的新生","61e5c76e-856f-4ca2-927d-5e56853d0b15","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/4,31",
"舞蹈表演——霍尔斯特《行星组曲》","6247cc2a-91df-424e-a9d6-0539f65bc790","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/14,12","芭蕾现代舞花样滑冰展现星际世界"
"中山音乐堂重张二十周年庆典音乐会","63f3e26b-0ac6-49ba-9a84-086a9ac4c486","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/2,22",
"2013年韦尔比耶音乐节","6671e340-64c8-4b4f-bf55-057c35ed15fe","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/28,11","卡瓦科斯与王羽佳演奏勃拉姆斯奏鸣曲"
"首席猫玩转音符系列音乐课堂","676cd96c-e90c-4434-a958-917131fdc7bd","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/31",
"中国儿艺儿童剧《宝船》","68347c5b-8a02-4b09-a254-db1e9fc09ea8","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:55Z,2020-09-27T19:28:55Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/17",
"民族歌剧《尘埃落定》","6ba0e1b3-fc56-4dc8-8ed8-65a1390f82c5","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:55Z,2020-09-27T19:28:55Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/3,13",
"韦尔比耶音乐节管弦乐团祝福","6c757597-1889-4710-9ef6-60d662d51d9f","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:34:38Z,"文艺战疫","https://m.polyt.cn/activity/cloudTheater/detail/5,41",
"“维也纳森林的故事”——奥地利凯林格尔爱乐乐团","6e117030-1fda-4e0b-b2cd-ccdb6161e1a0","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/6,21",
"纪录片：弗兰克·彼得·齐默尔曼——我与巴赫","6eda7e27-6038-487a-a9b6-f918f8ce731d","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/12,31","小提琴家齐默尔曼讲述自己演奏巴赫的故事"
"大型原创黄梅戏《太白醉》","70e51340-6479-4cd7-ac67-1b25aedb9c2b","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏曲","https://m.polyt.cn/activity/cloudTheater/detail/2,53",
"2018国家大剧院“舒伯特之夜”维也纳广播交响乐团音乐会","7127f094-c485-4958-9bce-1d5bb38b0cab","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/4,21",
"新编历史京剧《戚继光》","7206d799-935f-4b82-aa25-b022e6ba3549","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏曲","https://m.polyt.cn/activity/cloudTheater/detail/7,51","民族英雄戚继光抗击倭寇保家卫国的英雄故事"
"朗朗的《第三维度》","72203ea1-340d-448b-831b-2385e42242d3","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/27,12",
"著名节目主持人张悦做客大湖之约","72fb9267-e266-4f9f-aec9-c28aadd56426","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:34:49Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/2,31",
"原创大型黄梅戏《槐花谣》","74fff3bf-0c78-401a-b99b-48bcb0bf612f","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/18",
"方旭导演作品 话剧《老李对爱的幻想》","76a90079-0a7a-415e-9b2c-e9423c0886f3","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/8,11","改编自老舍同名戏剧作品，经典不容错过。"
