Title,Type,Link,more
马林斯基剧院捷杰耶夫与多明戈祝福,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/5,42",
音乐剧《王二的长征》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/3,11",
话剧《冬皇—孟小冬传》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/16,
“非比寻常”——卢森堡“绝对码头”爵士乐队 Dock in Absolute,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/7,22",将爵士、古典和摇滚乐结合并不断推向极致
艾班四重奏在韦尔比耶,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/26,12",
天津人艺津味话剧《蛐蛐四爷》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/4,14",
贝嘉芭蕾舞团根据《贝多芬第九交响曲》编舞的现代芭蕾,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/16,13",
龚琳娜24节气古诗词音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/5,23",
2015巴登-巴登音乐节 伯纳德·海廷克与柏林爱乐演绎贝多芬,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/23,11",
莱比锡芭蕾舞团的《卓别林》，带你进入喜剧大师的世界,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/9,11",呈现喜剧大师真正的世界
湖南民族乐团2020新年音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/3,23",
“抗疫情”原创歌曲《我爱这土地》,文艺战疫,https://m.polyt.cn/activity/cloudTheater/detail/45,
珠落玉盘——琵琶艺术家吴玉霞音乐会精选,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/2,24",
歌剧《茶花女》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/17,12",
音乐会：2003琉森音乐节—— 阿巴多指挥马勒第二交响曲,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/11,21",阿巴多创建的琉森音乐节管弦乐团的精彩首演
法语音乐剧全明星阵容《Together》应援中国——我们与中国同在,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/3,41",
“浪奔浪涌·艺路向东”2020上海东方艺术中心云公益专场在线义演,直播展映,"https://m.polyt.cn/activity/cloudTheater/detail/12,71",2020上海东方艺术中心云公益专场
芭蕾舞剧《天鹅湖》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/7,12",世界上最著名的芭蕾舞剧之一
常熟艺术大讲堂——让孔祥东告诉你如何感受静谧的力量,人物,"https://m.polyt.cn/activity/cloudTheater/detail/2,33",
在线精品课程之《表演分享》,人物,"https://m.polyt.cn/activity/cloudTheater/detail/6,31",
京剧《红鬃烈马》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/6,52",
“情迷哈瓦那”纪念中古建交70周年——古巴李斯特·阿方索舞团,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/5,22",
纪录片：二十世纪音乐世界的灵魂人物之一——伦纳德·伯恩斯坦的思考,人物,"https://m.polyt.cn/activity/cloudTheater/detail/9,32",带你全面了解伦纳德·伯恩斯坦
首席猫玩转音符——音乐启蒙趣味课堂,人物,https://m.polyt.cn/activity/cloudTheater/detail/31,
天津人艺原创历史话剧《天下粮田》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/4,11",
穆蒂与维也纳爱乐,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/22,11",
民族管弦乐《潇湘水云》,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/3,24",
《花开有时》保利·文艺战疫主题曲,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/2,41",
管风琴艺术家沈媛音乐会精选,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/4,23",
话剧版《海洋天堂》（节选）,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/6,14",
吉里·贝洛拉维克与佐尔坦演奏莫扎特第23钢琴协奏曲,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/25,12",
维也纳爱乐乐团祝福,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/2,43",
米歇尔·达尔贝托-月光/Michel Dalberto - Moonlight,文艺战疫,https://m.polyt.cn/activity/cloudTheater/detail/43,
花鼓戏《河西村的故事》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/3,53",
《黄金三镖客》电影原音音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/14,21",带你走入莫里康内的“决斗”
芭蕾舞剧《吉赛尔》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/5,14",
韦尔比耶室内乐团2010,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/26,11",
天津人艺津味话剧《海河人家》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/4,12",
交响组曲《梦桥》—第四乐章《献给大海》,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/27,
纪录片《经典马友友》,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/28,12",演出排练片段及好友访谈、感受马友友的文化探索
2016年欧洲青年古典音乐节集锦,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/24,11",
基顿·克莱默与玛莎·阿格里奇——音乐会的记忆,人物,"https://m.polyt.cn/activity/cloudTheater/detail/12,32",通过音乐会的回忆了解这位“魔鬼小提琴家”
歌剧 莫扎特《魔笛》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/5,12",
2017年欧洲青年古典音乐节集锦,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/24,12",
捷克国家芭蕾舞团全新演绎柴可夫斯基《胡桃夹子》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/10,11",捷克国家芭蕾舞团全新演绎
北方昆曲剧院《红楼梦·共读西厢》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/2,52",
京剧《锁麟囊》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/5,51",
新编历史京剧《闯王进京》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/8,51",形象展示此次农民起义失败的历史教训。
央华戏剧《明年此时》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/14,蒋雯丽、刘钧演绎百老汇经典名剧
婺剧《箬寮风雷》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/3,54",
明韵—李凤云、王建欣琴埙箫音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/6,23",
琉森音乐节管弦乐团演奏马勒第五交响曲及贝多芬协奏曲,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/20,12",
厦门六中合唱团《鱼歌》-吉岛音乐制作,音乐会,https://m.polyt.cn/activity/cloudTheater/detail/24,
艾米尔·努恩与丹麦国家交响乐团呈现了斑斓的游戏音乐世界,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/14,22",带你回到那些陪伴你走过青春的游戏世界
曾震惊世界的《春之祭》——由乌维·肖尔兹再次创作的两幕芭蕾舞剧,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/11,12",德国编舞大师乌维·肖尔兹职业生涯重要作品
光束专访：《犹太城》：看不到明天的晨曦，今天的生活还要继续 ,人物,"https://m.polyt.cn/activity/cloudTheater/detail/6,32",
BBC交响乐团及萨德勒威尔斯管弦乐团与伊萨克·帕尔曼合作圣桑和埃尔加作品,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/21,11",
音乐会：2004琉森音乐节庆典音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/11,22",2004年，阿巴多率领乐团奉上开幕音乐会
京剧《生活秀》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/3,52",
仙境之音—世界名曲浪漫竖琴音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/4,24",
歌剧《弄臣》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/18,11",
越剧《西施断缆》：诸暨市越剧团二零零九年复排演出,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/10,51",一代美人演绎一曲舍身取义的正气之歌
